Origin,Airline,Time,On_Time,Late,Probability_Late
ORD,UA,2,617,446,0.4195672624647225
ORD,UA,3,222,314,0.585820895522388
ORD,B6,1,0,0,
ORD,B6,2,0,0,
ORD,B6,3,0,0,
ORD,WN,1,0,0,
ORD,WN,2,0,0,
ORD,WN,3,0,0,
ORD,AA,1,220,53,0.19413919413919414
ORD,AA,2,597,354,0.3722397476340694
ORD,AA,3,196,175,0.4716981132075472
ORD,US,1,0,0,
ORD,US,2,0,0,
ORD,US,3,0,0,
ORD,DL,1,0,0,
ORD,DL,2,0,0,
ORD,DL,3,0,0,
ORD,NK,1,21,22,0.5116279069767442
ORD,NK,2,140,191,0.5770392749244713
ORD,NK,3,4,1,0.2
ORD,VX,1,0,0,
ORD,VX,2,0,0,
ORD,VX,3,0,0,
ORD,AS,1,0,0,
ORD,AS,2,0,0,
ORD,AS,3,0,0,
ORD,EV,1,0,0,
ORD,EV,2,0,0,
ORD,EV,3,0,0,
ALB,F9,1,0,0,
ALB,F9,2,0,0,
ALB,F9,3,0,0,
ALB,UA,1,0,0,
ALB,UA,2,0,0,
ALB,UA,3,0,0,
ALB,B6,1,0,0,
ALB,B6,2,6,2,0.25
ALB,B6,3,6,8,0.5714285714285714
ALB,WN,1,277,39,0.12341772151898735
ALB,WN,2,207,70,0.2527075812274368
